EXECUTIONID,ABSTRACTIONID,ACTIONID,ARENAID,SHEETID,SYSTEMID,VARIANTID,ADAPTERID,X,Y,TYPE,VALUE,RAWVALUE,VALUETYPE,LASTMODIFIED,EXECUTIONTIME
cbd8bb29-5199-402a-84a5-5d449455fef9,4e73bb0d-f01f-43e5-bf46-7ab7870a289f,arena,amplified_pit,test1_4e73bb0d-f01f-43e5-bf46-7ab7870a289f,4e73bb0d-f01f-43e5-bf46-7ab7870a289f,mutant7,0,0,1,value,"""A/[M99LO)9}(c_Gg?U""","""A/[M99LO)9}(c_Gg?U""",java.lang.Object,2022-12-22T14:01:37.404Z,177717
cbd8bb29-5199-402a-84a5-5d449455fef9,4e73bb0d-f01f-43e5-bf46-7ab7870a289f,arena,original_jacoco,test2_4e73bb0d-f01f-43e5-bf46-7ab7870a289f,4e73bb0d-f01f-43e5-bf46-7ab7870a289f,original,0,0,-1,value,null,null,void,2022-12-22T14:01:34.385Z,153716
cbd8bb29-5199-402a-84a5-5d449455fef9,4e73bb0d-f01f-43e5-bf46-7ab7870a289f,arena,original_jacoco,all,4e73bb0d-f01f-43e5-bf46-7ab7870a289f,original,0,-1,-1,jacoco_class_class.missedratio,0.0,,,2022-12-22T14:01:34.610Z,0
cbd8bb29-5199-402a-84a5-5d449455fef9,4e73bb0d-f01f-43e5-bf46-7ab7870a289f,arena,amplified_jacoco,test2_4e73bb0d-f01f-43e5-bf46-7ab7870a289f,4e73bb0d-f01f-43e5-bf46-7ab7870a289f,original,0,0,1,value,1,1,int,2022-12-22T14:01:36.391Z,170624
cbd8bb29-5199-402a-84a5-5d449455fef9,4e73bb0d-f01f-43e5-bf46-7ab7870a289f,arena,amplified_pit,test4_4e73bb0d-f01f-43e5-bf46-7ab7870a289f,4e73bb0d-f01f-43e5-bf46-7ab7870a289f,mutant3,0,0,1,value,false,false,boolean,2022-12-22T14:01:36.993Z,247893
cbd8bb29-5199-402a-84a5-5d449455fef9,4e73bb0d-f01f-43e5-bf46-7ab7870a289f,arena,original_pit,test5_4e73bb0d-f01f-43e5-bf46-7ab7870a289f,4e73bb0d-f01f-43e5-bf46-7ab7870a289f,mutant8,0,0,-1,value,_EXCEPTION_,java.util.EmptyStackException,java.lang.Object,2022-12-22T14:01:36.208Z,264893
cbd8bb29-5199-402a-84a5-5d449455fef9,4e73bb0d-f01f-43e5-bf46-7ab7870a289f,arena,original_pit,all,4e73bb0d-f01f-43e5-bf46-7ab7870a289f,mutant1,0,-1,-1,mutation.mutator,org.pitest.mutationtest.engine.gregor.mutators.returns.NullReturnValsMutator,,,2022-12-22T14:01:35.377Z,0
cbd8bb29-5199-402a-84a5-5d449455fef9,4e73bb0d-f01f-43e5-bf46-7ab7870a289f,arena,original_pit,test1_4e73bb0d-f01f-43e5-bf46-7ab7870a289f,4e73bb0d-f01f-43e5-bf46-7ab7870a289f,mutant7,0,0,0,value,_INSTANCE_,miniml.Stack,miniml.Stack,2022-12-22T14:01:36.031Z,303554
cbd8bb29-5199-402a-84a5-5d449455fef9,4e73bb0d-f01f-43e5-bf46-7ab7870a289f,arena,original_pit,test4_4e73bb0d-f01f-43e5-bf46-7ab7870a289f,4e73bb0d-f01f-43e5-bf46-7ab7870a289f,mutant3,0,0,0,value,_INSTANCE_,miniml.Stack,miniml.Stack,2022-12-22T14:01:35.614Z,286203
cbd8bb29-5199-402a-84a5-5d449455fef9,4e73bb0d-f01f-43e5-bf46-7ab7870a289f,arena,amplified_pit,test4_4e73bb0d-f01f-43e5-bf46-7ab7870a289f,4e73bb0d-f01f-43e5-bf46-7ab7870a289f,mutant7,0,0,0,value,_INSTANCE_,miniml.Stack,miniml.Stack,2022-12-22T14:01:37.442Z,296847
